route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,route_fare_class,line_id,route
86,1,,Sullivan Square Station - Reservoir Station,,,,,,,,,
87,1,,Clarendon Hill or Arlington Center - Lechmere Station,,,,,,,,,
88,1,,Clarendon Hill - Lechmere Station,,,,,,,,,
89,1,,Clarendon Hill or Davis Station - Sullivan Square Station,,,,,,,,,
8993,1,,Clarendon Hill - Haymarket Station,,,,,,,,,
90,1,,Davis Station - Assembly Row,,,,,,,,,
91,1,,"Sullivan Square Station - Central Square, Cambridge",,,,,,,,,
92,1,,Sullivan Square Station - Downtown via Main Street,,,,,,,,,
93,1,,Sullivan Square Station - Downtown via Bunker Hill Street,,,,,,,,,
94,1,,Medford Square - Davis Station,,,,,,,,,
95,1,,West Medford or Arlington Center - Sullivan Square Station,,,,,,,,,
96,1,,Medford Square - Harvard Station,,,,,,,,,
97,1,,Malden Center Station - Wellington Station,,,,,,,,,
99,1,,Woodland Road - Wellington Station,,,,,,,,,
100,1,,Elm Street - Wellington Station,,,,,,,,,
101,1,,Malden Center Station - Sullivan Square Station via Winter Hill,,,,,,,,,
104,1,,Malden Center Station - Sullivan Square Station via Ferry Street,,,,,,,,,
105,1,,Malden Center Station - Sullivan Square Station via Newland Street Housing,,,,,,,,,
106,1,,Lebanon Loop - Wellington Station,,,,,,,,,
108,1,,Linden Square - Wellington Station,,,,,,,,,
109,1,,Linden Square - Sullivan Square Station,,,,,,,,,
110,1,,Wonderland Station - Wellington Station,,,,,,,,,
111,1,,Woodlawn - Haymarket Station,,,,,,,,,
112,1,,Wellington Station - Wood Island Station,,,,,,,,,
114,1,,Market Basket - Maverick Station,,,,,,,,,
116,1,,Wonderland Station - Maverick Station via Revere Street,,,,,,,,,
117,1,,Wonderland Station - Maverick Station via Beach Street,,,,,,,,,
119,1,,Northgate Shopping Center - Beachmont Station,,,,,,,,,
120,1,,Orient Heights Station - Jeffries Point,,,,,,,,,
121,1,,Wood Island Station - Maverick Station,,,,,,,,,
131,1,,Melrose Highlands - Oak Grove or Malden Center Station,,,,,,,,,
