stop_id,stop_code,stop_name,stop_desc,platform_code,platform_name,stop_lat,stop_lon,zone_id,stop_address,stop_url,level_id,location_type,parent_station,wheelchair_boarding,municipality,on_street,at_street,vehicle_type
place-WML-0252,place-WML-0252,Ashland,,,,42.26149,-71.482161,CR-zone-6,,,,1,,1,Ashland,,,
place-WML-0252-0,place-WML-0252-0,platform 0,,,,42.26149,-71.482161,CR-zone-6,,,,0,place-WML-0252,1,Ashland,,,2
place-WML-0252-1,place-WML-0252-1,platform 1,,,,42.26149,-71.482161,CR-zone-6,,,,0,place-WML-0252,1,Ashland,,,2
place-rockland-n-abington,place-rockland-n-abington,Rockland-North Abington,,,,0,0,,,,,1,,1,Abington,,,
place-rockland-n-abington-0,place-rockland-n-abington-0,platform 0,,,,0,0,,,,,0,place-rockland-n-abington,1,Abington,,,2
place-rockland-n-abington-1,place-rockland-n-abington-1,platform 1,,,,0,0,,,,,0,place-rockland-n-abington,1,Abington,,,2
place-nqncy,place-nqncy,North Quincy,,,,42.275275,-71.029583,,,,,1,,1,Quincy,,,
70097,70097,North Quincy,,,,42.27577,-71.030194,RapidTransit,,,level_0_platform,0,place-nqncy,1,Quincy,,,1
70098,70098,North Quincy,,,,42.275802,-71.030144,RapidTransit,,,level_0_platform,0,place-nqncy,1,Quincy,,,1
place-wlsta,place-wlsta,Wollaston,,,,42.266514,-71.020337,,,,,1,,1,Quincy,,,
70099,70099,Wollaston,,,,42.266762,-71.020542,RapidTransit,,,level_1_platform,0,place-wlsta,1,Quincy,,,1
70100,70100,Wollaston,,,,42.266788,-71.020457,RapidTransit,,,level_1_platform,0,place-wlsta,1,Quincy,,,1
place-GB-0222,place-GB-0222,Prides Crossing,,,,42.559446,-70.825541,CR-zone-5,,,,1,,2,Beverly,,,
place-GB-0222-0,place-GB-0222-0,platform 0,,,,42.559446,-70.825541,CR-zone-5,,,,0,place-GB-0222,2,Beverly,,,2
place-GB-0222-1,place-GB-0222-1,platform 1,,,,42.559446,-70.825541,CR-zone-5,,,,0,place-GB-0222,2,Beverly,,,2
place-GRB-0276,place-GRB-0276,Greenbush,,,,42.178776,-70.746641,CR-zone-6,,,,1,,1,Scituate,,,
place-GRB-0276-0,place-GRB-0276-0,platform 0,,,,42.178776,-70.746641,CR-zone-6,,,,0,place-GRB-0276,1,Scituate,,,2
place-GRB-0276-1,place-GRB-0276-1,platform 1,,,,42.178776,-70.746641,CR-zone-6,,,,0,place-GRB-0276,1,Scituate,,,2
place-GB-0254,place-GB-0254,Manchester,,,,42.573687,-70.77009,CR-zone-6,,,,1,,1,Manchester-by-the-Sea,,,
place-GB-0254-0,place-GB-0254-0,platform 0,,,,42.573687,-70.77009,CR-zone-6,,,,0,place-GB-0254,1,Manchester-by-the-Sea,,,2
place-GB-0254-1,place-GB-0254-1,platform 1,,,,42.573687,-70.77009,CR-zone-6,,,,0,place-GB-0254,1,Manchester-by-the-Sea,,,2
place-FR-0361,place-FR-0361,Ayer,,,,42.559074,-71.588476,CR-zone-8,,,,1,,2,Ayer,,,
place-FR-0361-0,place-FR-0361-0,platform 0,,,,42.559074,-71.588476,CR-zone-8,,,,0,place-FR-0361,2,Ayer,,,2
place-FR-0361-1,place-FR-0361-1,platform 1,,,,42.559074,-71.588476,CR-zone-8,,,,0,place-FR-0361,2,Ayer,,,2
place-WML-0442,place-WML-0442,Worcester,,,,42.261835,-71.791806,CR-zone-8,,,,1,,1,Worcester,,,
place-WML-0442-0,place-WML-0442-0,platform 0,,,,42.261835,-71.791806,CR-zone-8,,,,0,place-WML-0442,1,Worcester,,,2
place-WML-0442-1,place-WML-0442-1,platform 1,,,,42.261835,-71.791806,CR-zone-8,,,,0,place-WML-0442,1,Worcester,,,2
place-FR-0115,place-FR-0115,Brandeis/Roberts,,,,42.361898,-71.260065,CR-zone-2,,,,1,,1,Waltham,,,
place-FR-0115-0,place-FR-0115-0,platform 0,,,,42.361898,-71.260065,CR-zone-2,,,,0,place-FR-0115,1,Waltham,,,2
place-FR-0115-1,place-FR-0115-1,platform 1,,,,42.361898,-71.260065,CR-zone-2,,,,0,place-FR-0115,1,Waltham,,,2
place-NEC-1851,place-NEC-1851,Providence,,,,41.829293,-71.413301,CR-zone-8,,,,1,,1,Providence,,,
place-NEC-1851-0,place-NEC-1851-0,platform 0,,,,41.829293,-71.413301,CR-zone-8,,,,0,place-NEC-1851,1,Providence,,,2
place-NEC-1851-1,place-NEC-1851-1,platform 1,,,,41.829293,-71.413301,CR-zone-8,,,,0,place-NEC-1851,1,Providence,,,2
place-sstat,place-sstat,South Station,,,,42.352271,-71.055242,CR-zone-1A,,,,1,,1,Boston,,,
place-sstat-0,place-sstat-0,platform 0,,,,42.352271,-71.055242,CR-zone-1A,,,,0,place-sstat,1,Boston,,,2
place-sstat-1,place-sstat-1,platform 1,,,,42.352271,-71.055242,CR-zone-1A,,,,0,place-sstat,1,Boston,,,2
70079,70079,South Station,,,,42.352271,-71.055242,RapidTransit,,,level_-3_red_platform,0,place-sstat,1,Boston,,,1
70080,70080,South Station,,,,42.352271,-71.055242,RapidTransit,,,level_-3_red_platform,0,place-sstat,1,Boston,,,1
74611,74611,South Station,,,,42.352271,-71.055242,SLWaterfrontNonLogan,,,level_-2_silver_platform,0,place-sstat,1,Boston,,,3
74617,74617,South Station,,,,42.352271,-71.055242,SLWaterfrontNonLogan,,,level_-2_silver_platform,0,place-sstat,1,Boston,,,3
place-bucen,place-bucen,Boston University Central,,,,42.350082,-71.106865,,,,,1,,1,Boston,,,
70144,70144,Boston University Central,,,,42.350013,-71.106902,RapidTransit,,,level_median,0,place-bucen,1,Boston,,,0
70145,70145,Boston University Central,,,,42.350148,-71.107455,RapidTransit,,,level_median,0,place-bucen,1,Boston,,,0
