route_id,direction_id,direction,direction_destination
430,0,Outbound,Saugus Center
430,1,Inbound,Malden Center Station
435,0,Outbound,Liberty Tree Mall
435,1,Inbound,"Central Square, Lynn"
436,0,Outbound,Liberty Tree Mall
436,1,Inbound,"Central Square, Lynn"
439,0,Outbound,Nahant
439,1,Inbound,Wonderland Station
44,0,Outbound,Jackson Square Station
44,1,Inbound,Ruggles Station
441,0,Outbound,Marblehead
441,1,Inbound,Wonderland Station
441442,0,Outbound,Marblehead
441442,1,Inbound,Wonderland Station
442,0,Outbound,Marblehead
442,1,Inbound,Wonderland Station
45,0,Outbound,Franklin Park
45,1,Inbound,Ruggles Station
450,0,Outbound,Salem Depot
450,1,Inbound,Wonderland or Haymarket Station
451,0,Outbound,North Beverly Station
451,1,Inbound,Salem Depot
455,0,Outbound,Salem Depot
455,1,Inbound,Wonderland Station
456,0,Outbound,Salem Depot
456,1,Inbound,"Central Square, Lynn"
47,0,Outbound,"Central Square, Cambridge"
47,1,Inbound,Broadway Station
50,0,Outbound,Cleary Square
50,1,Inbound,Forest Hills Station
501,0,Outbound,Brighton Center
501,1,Inbound,Federal Street & Franklin Street
504,0,Outbound,Watertown Yard
504,1,Inbound,Federal Street & Franklin Street
505,0,Outbound,Waltham Center
505,1,Inbound,Federal Street & Franklin Street
51,0,Outbound,Reservoir Station
51,1,Inbound,Forest Hills Station
52,0,Outbound,Dedham Mall
52,1,Inbound,Watertown Yard
55,0,Outbound,West Fenway
55,1,Inbound,Copley Square
553,0,Outbound,Roberts
553,1,Inbound,Newton Corner
554,0,Outbound,Waverley Square
554,1,Inbound,Newton Corner
556,0,Outbound,Waltham Highlands
556,1,Inbound,Newton Corner
558,0,Outbound,Riverside Station
558,1,Inbound,Newton Corner
57,0,Outbound,Watertown Yard
57,1,Inbound,Kenmore Station
59,0,Outbound,Needham Junction
59,1,Inbound,Watertown Square
60,0,Outbound,Chestnut Hill
60,1,Inbound,Kenmore Station
61,0,Outbound,North Waltham
61,1,Inbound,Waltham Center
62,0,Outbound,Bedford VA Hospital
62,1,Inbound,Alewife Station
627,0,Outbound,Bedford VA Hospital
627,1,Inbound,Alewife Station
64,0,Outbound,Oak Square
64,1,Inbound,University Park or Kendall/MIT Station
65,0,Outbound,Brighton Center
65,1,Inbound,Kenmore Station
66,0,Outbound,Harvard Square
66,1,Inbound,Nubian Station
67,0,Outbound,Turkey Hill
67,1,Inbound,Alewife Station
68,0,Outbound,Harvard Square
68,1,Inbound,Kendall/MIT Station
69,0,Outbound,Harvard Square
69,1,Inbound,Lechmere Station
7,0,Outbound,City Point
7,1,Inbound,Otis Street & Summer Street
70,0,Outbound,Market Place Drive or Waltham Center
70,1,Inbound,University Park
708,0,Outbound,Beth Israel Deaconess Hospital
708,1,Inbound,Andrew Station
71,0,Outbound,Watertown Square
71,1,Inbound,Harvard Station
712,0,Outbound,Point Shirley
712,1,Inbound,Orient Heights Station
713,0,Outbound,Point Shirley
713,1,Inbound,Orient Heights Station
714,0,Outbound,"Pemberton Point, Hull"
714,1,Inbound,"Station Street, Hingham"
716,0,Outbound,Cobbs Corner
716,1,Inbound,Mattapan Station
73,0,Outbound,Waverley Square
73,1,Inbound,Harvard Station
74,0,Outbound,Belmont Center
74,1,Inbound,Harvard
741,0,Outbound,Logan Airport Terminals
741,1,Inbound,South Station
742,0,Outbound,Design Center
742,1,Inbound,South Station
743,0,Outbound,Chelsea Station
743,1,Inbound,South Station
746,0,Outbound,Silver Line Way
746,1,Inbound,South Station
747,0,Outbound,Sullivan Square Station
747,1,Inbound,Ruggles Station
749,0,Outbound,Nubian Station
749,1,Inbound,Temple Place
75,0,Outbound,Belmont Center
75,1,Inbound,Harvard
751,0,Outbound,Nubian Station
751,1,Inbound,South Station
76,0,Outbound,Lincoln Lab
76,1,Inbound,Alewife Station
77,0,Outbound,Arlington Heights
77,1,Inbound,Harvard Station
78,0,Outbound,Arlmont Village
78,1,Inbound,Harvard Station
8,0,Outbound,Harbor Point
8,1,Inbound,Kenmore Station
80,0,Outbound,Arlington Center
80,1,Inbound,Lechmere Station
83,0,Outbound,Rindge Avenue
83,1,Inbound,"Central Square, Cambridge"
85,0,Outbound,Spring Hill
85,1,Inbound,Kendall/MIT Station
86,0,Outbound,Harvard Square
86,1,Inbound,Reservoir Station
87,0,Outbound,Clarendon Hill or Arlington Center
87,1,Inbound,Lechmere Station
88,0,Outbound,Clarendon Hill
88,1,Inbound,Lechmere Station
89,0,Outbound,Clarendon Hill or Davis Station
89,1,Inbound,Sullivan Square Station
8993,0,Outbound,Clarendon Hill
8993,1,Inbound,Haymarket Station
9,0,Outbound,City Point
9,1,Inbound,Copley Square
90,0,Outbound,Davis Station
90,1,Inbound,Assembly Row
91,0,Outbound,Sullivan Square Station
91,1,Inbound,"Central Square, Cambridge"
92,0,Outbound,Sullivan Square Station
92,1,Inbound,Downtown
93,0,Outbound,Sullivan Square Station
93,1,Inbound,Downtown
94,0,Outbound,Medford Square
94,1,Inbound,Davis Station
95,0,Outbound,West Medford or Arlington Center
95,1,Inbound,Sullivan Square Station
96,0,Outbound,Medford Square
96,1,Inbound,Harvard Station
97,0,Outbound,Malden Center Station
97,1,Inbound,Wellington Station
99,0,Outbound,Woodland Road
99,1,Inbound,Wellington Station
Blue,0,West,Bowdoin
Blue,1,East,Wonderland
Boat-EastBoston,0,Outbound,Lewis Mall Wharf
Boat-EastBoston,1,Inbound,Long Wharf
Boat-F1,0,Outbound,Hingham or Hull
Boat-F1,1,Inbound,Long Wharf or Rowes Wharf
Boat-F4,0,Outbound,Charlestown
Boat-F4,1,Inbound,Long Wharf
Boat-F6,0,Outbound,Winthrop
Boat-F6,1,Inbound,Central Wharf
Boat-Lynn,0,Outbound,Blossom Street Pier
Boat-Lynn,1,Inbound,Long Wharf
CR-Fairmount,0,Outbound,Fairmount
CR-Fairmount,1,Inbound,South Station
CR-Fitchburg,0,Outbound,Wachusett
CR-Fitchburg,1,Inbound,North Station
CR-Foxboro,0,Outbound,Foxboro or Providence
CR-Foxboro,1,Inbound,South Station or Foxboro
CR-Franklin,0,Outbound,Forge Park/495 or Foxboro
CR-Franklin,1,Inbound,South Station
CR-Greenbush,0,Outbound,Greenbush
CR-Greenbush,1,Inbound,South Station
CR-Haverhill,0,Outbound,Haverhill
CR-Haverhill,1,Inbound,North Station
CR-Kingston,0,Outbound,Kingston
CR-Kingston,1,Inbound,South Station
CR-Lowell,0,Outbound,Lowell
CR-Lowell,1,Inbound,North Station
CR-Middleborough,0,Outbound,Middleborough/Lakeville
CR-Middleborough,1,Inbound,South Station
CR-Needham,0,Outbound,Needham Heights
CR-Needham,1,Inbound,South Station
CR-Newburyport,0,Outbound,Newburyport or Rockport
CR-Newburyport,1,Inbound,North Station
CR-Providence,0,Outbound,Stoughton or Wickford Junction
CR-Providence,1,Inbound,South Station
CR-Worcester,0,Outbound,Worcester
CR-Worcester,1,Inbound,South Station
CapeFlyer,0,Outbound,Hyannis
CapeFlyer,1,Inbound,South Station
Green-B,0,West,Boston College
Green-B,1,East,Government Center
Green-C,0,West,Cleveland Circle
Green-C,1,East,Government Center
Green-D,0,West,Riverside
Green-D,1,East,Union Square
Green-E,0,West,Heath Street
Green-E,1,East,Medford/Tufts
Mattapan,0,Outbound,Mattapan
Mattapan,1,Inbound,Ashmont
Orange,0,South,Forest Hills
Orange,1,North,Oak Grove
Red,0,South,Ashmont/Braintree
Red,1,North,Alewife
Shuttle-AirportGovernmentCenterExpress,0,West,Bowdoin
Shuttle-AirportGovernmentCenterExpress,1,East,Wonderland
Shuttle-AirportGovernmentCenterLocal,0,West,Bowdoin
Shuttle-AirportGovernmentCenterLocal,1,East,Wonderland
Shuttle-AirportGovernmentCenterLocalViaGate,0,West,Bowdoin
Shuttle-AirportGovernmentCenterLocalViaGate,1,East,Wonderland
Shuttle-AirportMaverick,0,West,Bowdoin
Shuttle-AirportMaverick,1,East,Wonderland
Shuttle-AirportWonderland,0,West,Airport
Shuttle-AirportWonderland,1,East,Wonderland
Shuttle-AlewifeDavis,0,South,Ashmont/Braintree
Shuttle-AlewifeDavis,1,North,Alewife
Shuttle-AlewifeHarvardViaBrattle,0,South,Ashmont/Braintree
Shuttle-AlewifeHarvardViaBrattle,1,North,Alewife
Shuttle-AlewifeHarvardViaHolyoke,0,South,Ashmont/Braintree
Shuttle-AlewifeHarvardViaHolyoke,1,North,Alewife
Shuttle-AlewifeKendall,0,South,Ashmont/Braintree
Shuttle-AlewifeKendall,1,North,Alewife
Shuttle-AlewifeKendallExpress,0,South,Ashmont/Braintree
Shuttle-AlewifeKendallExpress,1,North,Alewife
Shuttle-AlewifeLittletonExpress,0,Outbound,Wachusett
Shuttle-AlewifeLittletonExpress,1,Inbound,North Station
Shuttle-AlewifeLittletonLocal,0,Outbound,Wachusett
Shuttle-AlewifeLittletonLocal,1,Inbound,North Station
Shuttle-AlewifeParkSt,0,South,Ashmont/Braintree
Shuttle-AlewifeParkSt,1,North,Alewife
Shuttle-AndersonWoburnLowell,0,Outbound,Lowell
Shuttle-AndersonWoburnLowell,1,Inbound,North Station
Shuttle-AndersonWoburnNorthStationExpress,0,Outbound,Lowell
Shuttle-AndersonWoburnNorthStationExpress,1,Inbound,North Station
Shuttle-AndersonWoburnNorthStationLocal,0,Outbound,Lowell
Shuttle-AndersonWoburnNorthStationLocal,1,Inbound,North Station
Shuttle-AndersonWoburnReading,0,Outbound,Reading
Shuttle-AndersonWoburnReading,1,Inbound,North Station
Shuttle-AndoverHaverhill,0,Outbound,Haverhill
Shuttle-AndoverHaverhill,1,Inbound,North Station
Shuttle-AshlandFramingham,0,Outbound,Worcester
Shuttle-AshlandFramingham,1,Inbound,South Station
Shuttle-AshmontBraintree,0,South,Braintree
Shuttle-AshmontBraintree,1,North,Ashmont
Shuttle-AshmontBroadway,0,Outbound,Ashmont
Shuttle-AshmontBroadway,1,Inbound,Alewife
Shuttle-AshmontJFK,0,Outbound,Ashmont
Shuttle-AshmontJFK,1,Inbound,Alewife
Shuttle-AshmontMattapan,0,Outbound,Mattapan
Shuttle-AshmontMattapan,1,Inbound,Ashmont
Shuttle-AshmontParkStreetViaPostOffice,0,South,Ashmont
Shuttle-AshmontParkStreetViaPostOffice,1,North,Alewife
Shuttle-AttleboroProvidenceExpress,0,Outbound,Wickford Junction
Shuttle-AttleboroProvidenceExpress,1,Inbound,South Station
Shuttle-AttleboroProvidenceLocal,0,Outbound,Wickford Junction
Shuttle-AttleboroProvidenceLocal,1,Inbound,South Station
Shuttle-BabcockBackBay,0,West,Boston College
Shuttle-BabcockBackBay,1,East,Government Center
Shuttle-BabcockBlandford,0,West,Boston College
Shuttle-BabcockBlandford,1,East,Government Center
Shuttle-BabcockBostonCollege,0,West,Boston College
Shuttle-BabcockBostonCollege,1,East,Government Center
Shuttle-BabcockCopley,0,West,Boston College
Shuttle-BabcockCopley,1,East,Government Center
Shuttle-BabcockKenmore,0,West,Boston College
Shuttle-BabcockKenmore,1,East,Government Center
Shuttle-BackBayBostonLanding,0,Outbound,Worcester
Shuttle-BackBayBostonLanding,1,Inbound,South Station
Shuttle-BackBayBostonUniversityEast,0,West,Boston College
Shuttle-BackBayBostonUniversityEast,1,East,Government Center
Shuttle-BackBayForestHills,0,South,Forest Hills
Shuttle-BackBayForestHills,1,North,Back Bay
Shuttle-BackBayJackson,0,South,Forest Hills
Shuttle-BackBayJackson,1,North,Oak Grove
Shuttle-BackBayRuggles,0,South,Forest Hills
Shuttle-BackBayRuggles,1,North,Oak Grove
Shuttle-BackBayStMarys,0,West,Cleveland Circle
Shuttle-BackBayStMarys,1,East,Government Center
Shuttle-BallardvaleMaldenCenter,0,Outbound,Haverhill
Shuttle-BallardvaleMaldenCenter,1,Inbound,North Station
Shuttle-BallardvaleNorthStation,0,Outbound,Haverhill
Shuttle-BallardvaleNorthStation,1,Inbound,North Station
Shuttle-BeverlyNewburyportExpress,0,Outbound,Newburyport
Shuttle-BeverlyNewburyportExpress,1,Inbound,North Station
Shuttle-BeverlyNewburyportLocal,0,Outbound,Newburyport
Shuttle-BeverlyNewburyportLocal,1,Inbound,North Station
Shuttle-BeverlyNorthStationLimited,0,Outbound,Newburyport or Rockport
Shuttle-BeverlyNorthStationLimited,1,Inbound,North Station
Shuttle-BeverlyNorthStationLocal,0,Outbound,Newburyport or Rockport
Shuttle-BeverlyNorthStationLocal,1,Inbound,North Station
Shuttle-BeverlyRockportExpress,0,Outbound,Rockport
Shuttle-BeverlyRockportExpress,1,Inbound,North Station
Shuttle-BeverlyRockportLocal,0,Outbound,Rockport
Shuttle-BeverlyRockportLocal,1,Inbound,North Station
Shuttle-BlandfordBostonCollege,0,West,Boston College
Shuttle-BlandfordBostonCollege,1,East,Government Center
Shuttle-BlandfordWashington,0,West,Boston College
Shuttle-BlandfordWashington,1,East,Government Center
Shuttle-BostonCollegeKenmore,0,West,Boston College
Shuttle-BostonCollegeKenmore,1,East,Government Center
Shuttle-BostonCollegePackardsCorner,0,West,Boston College
Shuttle-BostonCollegePackardsCorner,1,East,Government Center
Shuttle-BostonCollegeWashington,0,West,Boston College
Shuttle-BostonCollegeWashington,1,East,Government Center
Shuttle-BostonLandingSouthStationExpress,0,Outbound,Worcester
Shuttle-BostonLandingSouthStationExpress,1,Inbound,South Station
Shuttle-BostonUniversityEastPark,0,West,Boston College/Cleveland Circle/Riverside
Shuttle-BostonUniversityEastPark,1,East,Park Street & North
Shuttle-BradfordHaverhill,0,Outbound,Haverhill
Shuttle-BradfordHaverhill,1,Inbound,North Station
Shuttle-BraintreeBroadway,0,South,Braintree
Shuttle-BraintreeBroadway,1,North,Alewife
Shuttle-BraintreeJFK,0,South,Braintree
Shuttle-BraintreeJFK,1,North,Alewife
Shuttle-BraintreeNorthQuincy,0,South,Braintree
Shuttle-BraintreeNorthQuincy,1,North,Alewife
Shuttle-BraintreeQuincyCenter,0,South,Braintree
Shuttle-BraintreeQuincyCenter,1,North,Alewife
Shuttle-BraintreeSouthStationExpress,0,Outbound,Braintree
