service_id,service_description,service_schedule_name,service_schedule_type,service_schedule_typicality,rating_start_date,rating_end_date,rating_description
BUS20262-hba26011-Weekday-02,Weekday schedule,Weekday,Weekday,1,20260405,20260613,Spring
BUS20262-hba26ns1-Weekday-02,Weekday schedule (no school),Weekday (no school),Weekday,1,20260405,20260613,Spring
BUS20262-hbb26016-Saturday-02,Saturday schedule,Saturday,Saturday,1,20260405,20260613,Spring
BUS20262-hbb26sf1-Weekday-02,Friday schedule (no school),Weekday,Weekday,1,20260405,20260613,Spring
BUS20262-hbb26sn1-Weekday-02,Monday - Thursday schedule (no school),Monday - Thursday (no school),Weekday,1,20260405,20260613,Spring
BUS20262-hbb26wk1-Weekday-02,Monday - Thursday schedule,Monday - Thursday,Weekday,1,20260405,20260613,Spring
BUS20262-hbc26016-Saturday-02,Saturday schedule,Saturday,Saturday,1,20260405,20260613,Spring
BUS20262-hbc26sf1-Weekday-02,Friday schedule (no school),Weekday,Weekday,1,20260405,20260613,Spring
BUS20262-hbc26sn1-Weekday-02,Monday - Thursday schedule (no school),Monday - Thursday (no school),Weekday,1,20260405,20260613,Spring
BUS20262-hbc26wk1-Weekday-02,Monday - Thursday schedule,Monday - Thursday,Weekday,1,20260405,20260613,Spring
BUS20262-hbf26011-Weekday-02,Weekday schedule,Weekday,Weekday,1,20260405,20260613,Spring
BUS20262-hbf26ns1-Weekday-02,Weekday schedule (no school),Weekday (no school),Weekday,1,20260405,20260613,Spring
BUS20262-hbg26016-Saturday-02,Saturday schedule,Saturday,Saturday,1,20260405,20260613,Spring
BUS20262-hbg26sf1-Weekday-02,Friday schedule (no school),Weekday,Weekday,1,20260405,20260613,Spring
BUS20262-hbg26sn1-Weekday-02,Monday - Thursday schedule (no school),Monday - Thursday (no school),Weekday,1,20260405,20260613,Spring
BUS20262-hbg26wk1-Weekday-02,Monday - Thursday schedule,Monday - Thursday,Weekday,1,20260405,20260613,Spring
BUS20262-hbl26016-Saturday-02,Saturday schedule,Saturday,Saturday,1,20260405,20260613,Spring
BUS20262-hbl26sf1-Weekday-02,Friday schedule (no school),Weekday,Weekday,1,20260405,20260613,Spring
BUS20262-hbl26sn1-Weekday-02,Monday - Thursday schedule (no school),Monday - Thursday (no school),Weekday,1,20260405,20260613,Spring
BUS20262-hbl26wk1-Weekday-02,Monday - Thursday schedule,Monday - Thursday,Weekday,1,20260405,20260613,Spring
BUS20262-hbq26016-Saturday-02,Saturday schedule,Saturday,Saturday,1,20260405,20260613,Spring
BUS20262-hbq26sf1-Weekday-02,Friday schedule (no school),Weekday,Weekday,1,20260405,20260613,Spring
