added_route_id,trip_id
741,75634028
742,75634028
743,75634028
741,75634037
742,75634037
743,75634037
741,75634040
742,75634040
743,75634040
741,75634045
742,75634045
743,75634045
741,75634057
742,75634057
743,75634057
741,75634058
742,75634058
743,75634058
741,75634067
742,75634067
743,75634067
741,75634108
742,75634108
743,75634108
741,75634113
742,75634113
743,75634113
741,75634114
742,75634114
743,75634114
741,75634115
742,75634115
743,75634115
741,75634117
742,75634117
743,75634117
741,75634119
742,75634119
743,75634119
741,75634120
742,75634120
743,75634120
741,75634123
742,75634123
743,75634123
741,75634124
742,75634124
743,75634124
741,75634125
742,75634125
743,75634125
741,75634313
742,75634313
743,75634313
741,75634391
742,75634391
743,75634391
741,75634395
742,75634395
743,75634395
741,75634819
742,75634819
743,75634819
741,75634820
742,75634820
743,75634820
741,75634821
742,75634821
743,75634821
741,75634822
742,75634822
743,75634822
741,75634823
742,75634823
743,75634823
741,75634824
742,75634824
743,75634824
741,75634825
742,75634825
743,75634825
741,75634826
742,75634826
743,75634826
741,75634827
742,75634827
743,75634827
741,75634828
742,75634828
743,75634828
741,75634829
742,75634829
743,75634829
741,75642012
742,75642012
743,75642012
741,75642035
742,75642035
743,75642035
741,75642102
742,75642102
743,75642102
741,75642128
742,75642128
743,75642128
741,75642129
742,75642129
743,75642129
741,75642177
742,75642177
743,75642177
741,75642501
742,75642501
743,75642501
741,75642503
742,75642503
743,75642503
741,75642505
742,75642505
743,75642505
741,75642506
742,75642506
743,75642506
741,75642508
742,75642508
743,75642508
741,75642511
742,75642511
743,75642511
741,75642514
742,75642514
743,75642514
741,75642516
742,75642516
743,75642516
741,75642520
742,75642520
743,75642520
741,75642521
742,75642521
743,75642521
741,75642522
742,75642522
743,75642522
741,75642523
742,75642523
743,75642523
741,75642524
742,75642524
743,75642524
741,75642529
742,75642529
743,75642529
741,75642530
742,75642530
743,75642530
741,75642531
742,75642531
743,75642531
741,75642532
742,75642532
743,75642532
741,75642534
742,75642534
743,75642534
741,75642535
742,75642535
743,75642535
741,75642536
742,75642536
743,75642536
741,75642538
742,75642538
743,75642538
741,75642541
742,75642541
743,75642541
741,75642544
742,75642544
743,75642544
741,75642547
742,75642547
743,75642547
741,75642548
742,75642548
743,75642548
741,75642549
742,75642549
743,75642549
741,75642552
742,75642552
743,75642552
741,75642571
742,75642571
743,75642571
741,75642992
742,75642992
743,75642992
741,75642993
742,75642993
743,75642993
741,75642994
742,75642994
743,75642994
741,75642995
742,75642995
743,75642995
741,75642996
742,75642996
743,75642996
741,75642997
742,75642997
743,75642997
741,75642998
742,75642998
743,75642998
741,75642999
742,75642999
743,75642999
741,75643000
742,75643000
743,75643000
741,75643001
742,75643001
743,75643001
741,75643002
742,75643002
743,75643002
741,75643003
742,75643003
743,75643003
741,75643005
742,75643005
743,75643005
741,75624235
742,75624235
743,75624235
741,75624236
742,75624236
743,75624236
741,75624260
742,75624260
743,75624260
741,75624336
742,75624336
743,75624336
741,75624654
742,75624654
743,75624654
741,75624739
742,75624739
743,75624739
741,75624860
742,75624860
743,75624860
741,75625155
742,75625155
743,75625155
741,75625165
742,75625165
743,75625165
741,75625166
742,75625166
743,75625166
741,75625186
742,75625186
743,75625186
741,75625190
742,75625190
743,75625190
741,75625198
742,75625198
743,75625198
741,75625208
742,75625208
743,75625208
741,75625210
742,75625210
743,75625210
741,75625211
742,75625211
743,75625211
741,75625216
742,75625216
743,75625216
741,75625224
742,75625224
743,75625224
741,75625226
742,75625226
743,75625226
741,75625228
742,75625228
743,75625228
741,75625230
742,75625230
743,75625230
741,75625232
742,75625232
743,75625232
741,75625238
742,75625238
743,75625238
741,75625239
742,75625239
743,75625239
741,75625241
742,75625241
743,75625241
741,75625243
742,75625243
743,75625243
741,75625245
742,75625245
743,75625245
741,75625248
742,75625248
743,75625248
741,75625249
742,75625249
743,75625249
741,75625252
742,75625252
743,75625252
741,75625257
742,75625257
743,75625257
741,75625258
742,75625258
743,75625258
741,75625261
742,75625261
743,75625261
741,75625269
742,75625269
743,75625269
741,75625274
742,75625274
743,75625274
741,75625281
742,75625281
743,75625281
741,75625291
742,75625291
743,75625291
741,75625292
742,75625292
743,75625292
741,75625294
742,75625294
743,75625294
741,75625303
742,75625303
743,75625303
741,75625306
742,75625306
743,75625306
741,75625311
742,75625311
743,75625311
741,75625316
742,75625316
743,75625316
741,75625321
742,75625321
743,75625321
741,75625328
742,75625328
743,75625328
741,75625329
742,75625329
743,75625329
741,75625330
742,75625330
743,75625330
741,75625334
742,75625334
743,75625334
741,75625340
742,75625340
743,75625340
741,75625367
742,75625367
743,75625367
741,75625382
742,75625382
743,75625382
741,75625416
742,75625416
743,75625416
741,75625642
742,75625642
743,75625642
741,75625729
742,75625729
743,75625729
741,75626051
742,75626051
743,75626051
741,75626052
742,75626052
743,75626052
741,75626054
742,75626054
743,75626054
741,75626058
742,75626058
743,75626058
741,75626062
742,75626062
743,75626062
741,75626064
742,75626064
743,75626064
741,75626065
742,75626065
743,75626065
741,75626069
742,75626069
743,75626069
741,75626071
742,75626071
743,75626071
741,75626074
742,75626074
743,75626074
741,75626075
742,75626075
743,75626075
741,75626076
742,75626076
743,75626076
741,75626077
742,75626077
743,75626077
741,75626078
742,75626078
743,75626078
741,75626080
742,75626080
743,75626080
741,75643755
742,75643755
743,75643755
741,75643779
742,75643779
743,75643779
741,75643845
742,75643845
743,75643845
741,75643871
742,75643871
743,75643871
741,75643872
742,75643872
743,75643872
741,75643920
742,75643920
743,75643920
741,75644244
742,75644244
743,75644244
741,75644246
742,75644246
743,75644246
741,75644248
742,75644248
743,75644248
741,75644249
742,75644249
743,75644249
